,Team,Total_Arrivals
0,Manchester City,188.03
1,Liverpool,119.32666666666667
2,Tottenham Hotspur,78.5
3,Chelsea,90.43333333333334
4,Manchester United,146.70000000000002
5,Arsenal,128.46666666666667
6,Everton,140.96666666666667
7,Leicester City,102.8
8,West Ham United,22.75
9,Bournemouth,59.95000000000002
10,Wolverhampton Wanderers,8.9
11,Newcastle United,57.48333333333333
12,Southampton,60.699999999999996
13,Crystal Palace,22.8
14,Watford,47.166666666666664
15,Brighton & Hove Albion,74.37
16,Burnley,26.046666666666667
17,Aston Villa,56.833333333333336
18,Norwich City,8.246666666666666
19,Sheffield United,19.94666666666667
20,Real Madrid,170.25
21,FC Barcelona,252.86666666666667
22,Atlético Madrid,144.66666666666666
23,Valencia CF,41.93333333333333
24,Real Sociedad,13.516666666666666
25,Real Betis,58.916666666666664
26,Sevilla FC,64.14999999999999
27,Celta de Vigo,26.066666666666666
28,Athletic Bilbao,26.666666666666668
29,Villarreal CF,53.6
30,Getafe CF,17.383333333333333
31,RCD Espanyol,19.383333333333336
32,CD Leganés,15.333333333333334
33,Levante UD,15.9
34,Real Valladolid CF,3.716666666666667
35,Deportivo Alavés,11.04
36,SD Eibar,10.683333333333335
37,RCD Mallorca,2.5
38,CA Osasuna,1.2333333333333334
39,Granada CF,2.5933333333333333
40,Juventus,204.20000000000002
41,Napoli,70.10000000000001
42,Inter,93.02333333333333
43,Milan,161.35999999999999
44,Roma,112.08333333333333
45,Lazio,38.486666666666665
46,Atalanta,27.353333333333335
47,Fiorentina,22.256666666666664
48,Torino,20.233333333333334
49,Cagliari,14.0
50,Sassuolo,32.833333333333336
51,Sampdoria,41.97
52,Genoa,41.64
53,Udinese,27.430000000000003
54,Brescia,7.656666666666666
55,Bologna,36.81666666666667
56,Parma,10.09
57,SPAL,18.69666666666667
58,Hellas Verona,5.579999999999999
59,Lecce,3.233333333333333
60,Bayern Munich,90.0
61,Borussia Dortmund,109.28000000000003
62,RB Leipzig,58.876666666666665
63,Bayer 04 Leverkusen,49.5
64,Borussia Mönchengladbach,24.28333333333333
65,TSG 1899 Hoffenheim,26.516666666666666
66,VfL Wolfsburg,47.51666666666667
67,Hertha BSC,21.233333333333334
68,Eintracht Frankfurt,35.71666666666667
69,FC Schalke 04,45.0
70,SV Werder Bremen,8.950000000000001
71,1.FSV Mainz 05,25.53333333333333
72,FC Augsburg,7.283333333333334
73,SC Freiburg,19.05
74,1. FC Köln,24.96666666666667
75,Fortuna Düsseldorf,2.8666666666666667
76,1.FC Union Berlin,3.9266666666666663
77,SC Paderborn 07,0.3
78,Paris Saint-Germain,198.33333333333334
79,Olympique Lyon,63.85
80,AS Monaco,137.48333333333338
81,LOSC Lille,55.333333333333336
82,Olympique Marseille,51.666666666666664
83,OGC Nice,35.6
84,Stade Rennais FC,42.13333333333333
85,AS Saint-Étienne,20.849999999999998
86,FC Girondins Bordeaux,20.296666666666667
87,RC Strasbourg Alsace,9.549999999999999
88,FC Toulouse,11.983333333333334
89,HSC Montpellier,21.833333333333332
90,Stade Reims,9.733333333333333
91,FC Nantes,13.550000000000004
92,SCO Angers,9.083333333333334
93,SC Amiens,6.3133333333333335
94,Nîmes Olympique,3.966666666666667
95,FCO Dijon,7.333333333333333
96,FC Metz,7.1499999999999995
97,Stade Brest 29,2.5
98,Ajax,44.86666666666667
99,PSV,27.133333333333336
100,Feyenoord,12.033333333333333
101,AZ Alkmaar,6.333333333333333
102,FC Utrecht,1.7
103,Vitesse,2.6999999999999997
104,SC Heerenveen,2.8633333333333333
105,FC Groningen,1.2416666666666667
106,FC Twente,1.0
107,Willem II,0.19166666666666665
108,Heracles Almelo,0.3666666666666667
109,PEC Zwolle,1.1766666666666665
110,Fortuna Sittard,0.08
111,Sparta Rotterdam,0.0
112,VVV-Venlo,0.16666666666666666
113,ADO Den Haag,1.5333333333333332
114,FC Emmen,0.18333333333333335
115,RKC Waalwijk,0.0
