League,Name
2. Bundesliga,6
A-League,2
Allsvenskan,1
Argentine Primera División,3
Austrian Football Bundesliga,2
Belgian First Division A,9
Bundesliga,41
Campeonato Brasileiro Série A,3
Categoría Primera A,2
Chinese Super League,2
Croatian First Football League,3
Danish Superliga,6
EFL Championship,30
EFL League One,3
Egyptian Premier League,10
Ekstraklasa,3
Eredivisie,8
First Professional Football League (Bulgaria),1
Israeli Premier League,2
J1 League,9
J2 League,1
K League 1,11
La Liga,44
Liga FPD,3
Liga I,1
Liga MX,20
Ligue 1,40
Ligue 2,2
"Ligue1, LP1",1
Major League Soccer,5
Nigerian Professional Football League,1
Persian Gulf Pro League,3
Premier League,92
Primeira Liga,11
Russian Premier League,30
Scottish Premiership,5
Segunda División,7
Serbian SuperLiga,2
Serie A,40
Slovak First Football League,1
Super League Greece,5
Süper Lig,12
Tunisian Ligue Professionnelle 1,1
Úrvalsdeild karla (football),1
